10 1559.64000000000000000000 46387.06240000000000000000
20 2341.45000000000000000000 110369.88350000000000000000
30 3314.73333330000000000000 33990.82978351555561000000
40 4086.23250000000000000000 16463.84950625000000000000
50 5287.38200000000000000000 21639.32723600000000000000
60 6851.86833330000000000000 813207.38362711233341000000
70 9198.64999990000000000000 23497.76469420346949000000
80 10694.42250000000000000000 1032230.23846250000000000000
90 11513.84666670000000000000 16928.05719274133341000000
100 13156.58100000000000000000 292700.99664900000000000000
