10 1798.27000000000000000000 422695.65410000000000000000
20 3972.19500000000000000000 40043.50272500000000000000
30 7519.57999990000000000000 56268.48670847822229000000
40 9228.74750000000000000000 18709.54043125000000000000
50 12303.79200000000000000000 102757.51833600000000000000
60 14548.65999980000000000000 1443857.50271882733336000000
70 18489.64142860000000000000 95047.36888271232664000000
80 22742.97875000000000000000 549058.50353281250000000000
90 19486.93999990000000000000 111617.00332720676549000000
100 23885.93300000000000000000 310459.72016100000000000000
