10 14491.20000000000000000000 972982.78600000000000000000
20 23697.05000000000000000000 954119.05250000000000000000
30 26884.56333340000000000000 489048.06917477155564000000
40 41688.04250000000000000000 961498.23450625000000000000
50 52325.01800000000000000000 13709793.24531600000000000000
60 59788.87666660000000000000 989128.94682737577784000000
70 76940.13142860000000000000 809322.03622979983684000000
80 80259.59375000000000000000 74970239.23875781250000000000
90 95967.03555560000000000000 1968231.56869686301244000000
100 109672.33000000000000000000 25174953.87446000000000000000
