10 685.82000000000000000000 3934.69960000000000000000
20 2885.28500000000000000000 7384.56902500000000000000
30 7076.08666660000000000000 12751.32048441377784000000
40 8087.80000000000000000000 57082.64812500000000000000
50 9198.00800000000000000000 52561.01345600000000000000
60 14240.83666680000000000000 67691.75219580688896000000
70 16482.99428570000000000000 2275973.11011343942861000000
80 17167.86625000000000000000 63965.02518906250000000000
90 20949.67999990000000000000 402998.27578998118529000000
100 22507.51600000000000000000 151491.56548400000000000000
