10 7147.82000000000000000000 144828.29360000000000000000
20 23600.79500000000000000000 695613.89122500000000000000
30 38665.27333330000000000000 1190945.43206790933341000000
40 32145.54000000000000000000 306083.78627500000000000000
50 55206.32400000000000000000 518621.28566400000000000000
60 65572.80500020000000000000 2510727.42546817133336000000
70 73007.97000010000000000000 663824.74396936804089000000
80 87758.33000000000000000000 4951838.99375625000000000000
90 86864.20444440000000000000 2847096.84363061669144000000
100 98216.15000000000000000000 6297084.74316000000000000000
