10 2325.56000000000000000000 50700.52040000000000000000
20 4829.87500000000000000000 23606.39462500000000000000
30 7501.42333330000000000000 22060.15356009933341000000
40 9857.37250000000000000000 64948.85505625000000000000
50 10474.54800000000000000000 1941922.21697600000000000000
60 13645.00166670000000000000 98996.93983679655561000000
70 16750.08428580000000000000 109821.45766987126536000000
80 18301.94625000000000000000 133979.27887656250000000000
90 21612.05333320000000000000 1005659.54352173471616000000
100 23669.13900000000000000000 121370.22224900000000000000
